time	replicate	inc_temp	ppmv	nmol_l	gas	soil_type
72	4	19	10.65793902	444.580000267801	CH4	unwarmed
120	4	19	9.1415158	381.324671607298	CH4	unwarmed
240	4	19	6.52839714	272.322331437913	CH4	unwarmed
360	4	19	4.2035395	175.344368974979	CH4	unwarmed
480	4	19	2.79619676	116.639169540831	CH4	unwarmed
600	4	19	1.63778084	NA	CH4	unwarmed
720	4	19	0.93378938	NA	CH4	unwarmed
840	4	19	0.33651296	NA	CH4	unwarmed
0	5	19	12.8867624	537.552037076966	CH4	unwarmed
1	5	19	12.38134183	516.469173239568	CH4	unwarmed
2	5	19	12.35724882	515.464169329135	CH4	unwarmed
4	5	19	11.72504398	489.092689119962	CH4	unwarmed
8	5	19	10.64914174	444.213034878205	CH4	unwarmed
24	5	19	7.613372702	317.580465748811	CH4	unwarmed
48	5	19	3.943137442	164.482086239253	CH4	unwarmed
72	5	19	1.619578395	67.5582926428513	CH4	unwarmed
120	5	19	0.06933795	NA	CH4	unwarmed
240	5	19	NA	NA	CH4	unwarmed
360	5	19	-0.3073589	NA	CH4	unwarmed
480	5	19	-0.4294023	NA	CH4	unwarmed
600	5	19	-0.0654669	NA	CH4	unwarmed
720	5	19	-0.0955597	NA	CH4	unwarmed
840	5	19	NA	NA	CH4	unwarmed
0	1	13	12.0669822	513.910513852926	CH4	unwarmed
1	1	13	11.8623747	505.196657834877	CH4	unwarmed
2	1	13	11.9893467	510.6041611098	CH4	unwarmed
4	1	13	11.7277468	499.463103900577	CH4	unwarmed
8	1	13	11.9833148	510.347273614887	CH4	unwarmed
24	1	13	10.6505627	453.587819991962	CH4	unwarmed
48	1	13	9.22311051	392.795264214148	CH4	unwarmed
72	1	13	7.27923256	310.009087886493	CH4	unwarmed
120	1	13	4.6092628	196.300000677152	CH4	unwarmed
240	1	13	1.45198403	NA	CH4	unwarmed
360	1	13	0.23318544	NA	CH4	unwarmed
0	2	13	12.8869107	548.829756276078	CH4	unwarmed
1	2	13	12.6385486	538.252472551189	CH4	unwarmed
2	2	13	12.4469655	530.093301705098	CH4	unwarmed
4	2	13	12.3516054	526.032090941725	CH4	unwarmed
8	2	13	11.7150752	498.923443829864	CH4	unwarmed
24	2	13	10.5721694	450.249193944629	CH4	unwarmed
48	2	13	8.66477151	369.016636083402	CH4	unwarmed
72	2	13	6.5077132	277.151501443291	CH4	unwarmed
120	2	13	3.7684522	160.491428132892	CH4	unwarmed
240	2	13	0.87956084	NA	CH4	unwarmed
360	2	13	0.02870628	NA	CH4	unwarmed
0	4	13	12.9007934	549.420994861867	CH4	unwarmed
1	4	13	12.9760347	552.625383043194	CH4	unwarmed
2	4	13	12.337333	525.424255751754	CH4	unwarmed
4	4	13	12.2761878	522.820194468591	CH4	unwarmed
8	4	13	12.8101893	545.562333365857	CH4	unwarmed
24	4	13	12.7847676	544.479670054228	CH4	unwarmed
48	4	13	11.7132968	498.847705054196	CH4	unwarmed
72	4	13	10.8932134	463.921865725764	CH4	unwarmed
120	4	13	9.2922899	395.741486830018	CH4	unwarmed
240	4	13	7.24463216	308.535520672355	CH4	unwarmed
360	4	13	4.47632039	190.638228652996	CH4	unwarmed
0	5	13	12.8546121	547.454218478174	CH4	unwarmed
1	5	13	12.532526	533.737165580236	CH4	unwarmed
2	5	13	12.3861405	527.502877149312	CH4	unwarmed
4	5	13	12.0893374	514.86258058584	CH4	unwarmed
8	5	13	11.2817233	480.467785744271	CH4	unwarmed
24	5	13	8.57672456	365.266878889124	CH4	unwarmed
48	5	13	5.37565732	228.939329637732	CH4	unwarmed
72	5	13	2.83729019	120.834955693625	CH4	unwarmed
120	5	13	0.7176625	NA	CH4	unwarmed
240	5	13	-0.0867082	NA	CH4	unwarmed
360	5	13	-0.1711757	NA	CH4	unwarmed
